# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 50  20   0.01623845
 50  27   0.05494600
 50  32  -0.01515632
 50  37   0.03039642
 51   9  -0.02164355
 51  29   0.02672275
 51  40  -0.00604940
 52  11   0.00131118
 52  16  -0.02305305
 52  19  -0.01588762
 52  26  -0.01106453
 52  31  -0.01561375
 52  34  -0.01441634
 52  36   0.03261216
 52  39  -0.03027768
 53  10   0.06462165
 53  15  -0.01877757
 53  25   0.05433295
 53  30   0.00674079
 53  33   0.01317571
 53  38  -0.01802199
 53  41   0.05083103
 54  11   0.00183108
 54  16  -0.02548724
 54  19  -0.02592824
 54  26   0.02398189
 54  31   0.00451741
 54  34   0.00048274
 54  36  -0.01672365
 54  39   0.01606267
 55   9   0.00224382
 55  29  -0.00202733
 55  40  -0.01229661

Jf nJf  Ji nJi  Lambda =   1 1      1 2      0
-------------- OBTD ---------------------
  3   0  -0.02813646
  4   1   0.10410154
  5   2  -0.10651348

-------------- TBTD ---------------------
  9   0  -0.00362886
  9  21  -0.01653352
  9  35   0.02030791
 10   3  -0.01511509
 10  23  -0.01924203
 11   1  -0.02040274
 11   4  -0.00426855
 11   7   0.00510756
 11  22  -0.00499262
 11  24  -0.02061205
 12   5  -0.00107009
 12   8   0.02885594
 13   2  -0.02615581
 13   6   0.00664908
 15   3   0.08844523
 15  23   0.04209285
 16   1  -0.01722092
 16   4   0.06245156
 16   7  -0.08130678
 16  22   0.01386865
 16  24  -0.04784406
 17   5   0.05395401
 17   8   0.02993779
 18   2   0.01848321
 18   6   0.10739639
 19   1   0.01051855
 19   4  -0.01538630
 19   7  -0.10956499
 19  22  -0.00856375
 19  24  -0.00591214
 20   5  -0.00710907
 20   8  -0.11560998
 25   3  -0.02090951
 25  23  -0.01395460
 26   1   0.00669333
 26   4  -0.00875854
 26   7  -0.01415074
 26  22  -0.00577135
 26  24  -0.00332383
 27   5  -0.01873108
 27   8   0.00736599
 28   2   0.00759513
 28   6   0.01616157
 29   0   0.00987559
 29  21   0.00977494
 29  35   0.01266300
 30   3   0.00316311
 30  23  -0.03839211
 31   1  -0.01114957
 31   4   0.00967539
 31   7  -0.03717206
 31  22   0.01726344
 31  24  -0.00638554
 32   5  -0.00211580
 32   8  -0.01965531
 33   3  -0.00281217
 33  23  -0.06403410
 34   1  -0.00851675
 34   4  -0.00474997
 34   7   0.00118641
 34  22   0.00608525
 34  24  -0.02939442
 36   1   0.00040058
 36   4  -0.00361281
 36   7  -0.00464916
 36  22   0.00289226
 36  24  -0.00230984
 37   5  -0.01400310
 37   8   0.01470622
 38   3   0.01495016
 38  23   0.07192829
 39   1   0.00235768
 39   4   0.00863425
 39   7  -0.04338619
 39  22   0.00567608
 39  24  -0.04035687
 40   0   0.02155514
 40  21  -0.00499545
 40  35  -0.01814143
 41   3   0.00618255
 41  23  -0.06354635
 42   9  -0.00166009
 42  29  -0.01665062
 42  40   0.02195548
 43  11  -0.02084482
 43  16   0.01189711
 43  19   0.00107958
 43  26   0.01727538
 43  31  -0.00522729
 43  34  -0.00994419
 43  36   0.00460862
 43  39   0.01814353
 44  13  -0.02577155
 44  18  -0.00385584
 44  28  -0.01313032
 45  10   0.01271859
 45  15  -0.00204097
 45  25   0.06962674
 45  30  -0.01379749
 45  33   0.00913295
 45  38   0.01895816
 45  41  -0.03919081
 46  11  -0.01711144
 46  16   0.01543026
 46  19  -0.01232638
 46  26  -0.05634391
 46  31   0.01391717
 46  34  -0.01970485
 46  36  -0.05502651
 46  39   0.02574476
 47  12  -0.00999679
 47  17  -0.00643061
 47  20  -0.01258448
 47  27   0.04177919
 47  32   0.01691888
 47  37  -0.04981783
